"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","368","Пользователь не может меня свое имя в профиле с некорректными данными [2] name=S  !","","2026-07-19","passed","2026-07-19","","Тесты на возможность изменить имя профиля пользователем API","iteration_2.api.ChangeNameOfUserTest","userCantChangeTheirNameWithNotCorrectData"
"","1263","Пользователь не может переводить отрицательные суммы и суммы больше 10000 [3] sum=-1, error=Transfer amount must be at least 0.01","","2026-07-19","passed","2026-07-19","","Тесты на проверку возможности перевода денег с одного счета на другой API","iteration_2.api.TransferMoneyTest","UserCantTransferMoneyFromOneAccountToAnotherWithNotCorrectSum"
"","0","Пользователь не может менять  role вместе с name","","2026-07-19","skipped","2026-07-19","","Тесты на возможность изменить имя профиля пользователем API","iteration_2.api.ChangeNameOfUserTest","userCantChangeTheirRole"
"","223","adminCanNotCreateUserWithInvalidData(String, String, String, String, String) [1] username=   , password=Password33$, role=USER, errorKey=username, errorValue=Username cannot be blank","","2026-07-19","passed","2026-07-19","","iteration_1.api.CreateUserTest","iteration_1.api.CreateUserTest","adminCanNotCreateUserWithInvalidData"
"","0","Пользователь не может менять  role вместе с name","","2026-07-19","skipped","2026-07-19","","Тесты на возможность изменить имя профиля пользователем API","iteration_2.api.ChangeNameOfUserTest","userCantChangeTheirRole"
"","419","Пользователь не может меня свое имя в профиле с некорректными данными [5] name=ы№№№ о;;;;","","2026-07-19","passed","2026-07-19","","Тесты на возможность изменить имя профиля пользователем API","iteration_2.api.ChangeNameOfUserTest","userCantChangeTheirNameWithNotCorrectData"
"","0","adminCanLoginWithCorrectData()","","2026-07-19","skipped","2026-07-19","","iteration_1.ui.LoginUserTest","iteration_1.ui.LoginUserTest","adminCanLoginWithCorrectData"
"","139","adminCanNotCreateUserWithInvalidData(String, String, String, String, String) [1] username=   , password=Password33$, role=USER, errorKey=username, errorValue=Username cannot be blank","","2026-07-19","passed","2026-07-19","","iteration_1.api.CreateUserTest","iteration_1.api.CreateUserTest","adminCanNotCreateUserWithInvalidData"
"","1846","Пользователь может отслеживать состояние своих учетных записей","","2026-07-19","passed","2026-07-19","","Тесты на проверку возможности перевода денег с одного счета на другой API","iteration_2.api.TransferMoneyTest","userCanSeeTrackingOfTheirAccounts"
"","230","Пользователь не может переводить отрицательные суммы","","2026-07-19","broken","2026-07-19","","Тесты на проверку возможности перевода денег с одного счета на другой UI","iteration_2.ui.TransferMoneyTestUI","UserCantTransferMoneyFromOneAccountToAnotherWithNotCorrectSum"
"","14","adminCanCreateUser()","","2026-07-19","broken","2026-07-19","","iteration_1.ui.CreateUserTest","iteration_1.ui.CreateUserTest","adminCanCreateUser"
"","0","Пользователь не может менять  username вместе с name","","2026-07-19","skipped","2026-07-19","","Тесты на возможность изменить имя профиля пользователем API","iteration_2.api.ChangeNameOfUserTest","userCantChangeTheirUserName"
"","1442","Пользователь может переводить деньги с одного счета на другой. Максимальная сумма 10000 [1] sum=9999","","2026-07-19","passed","2026-07-19","","Тесты на проверку возможности перевода денег с одного счета на другой API","iteration_2.api.TransferMoneyTest","UserCanTransferMoneyFromOneAccountToAnother"
"","1029","Пользователь может меня свое имя в профиле. [1] name=S s","","2026-07-19","passed","2026-07-19","","Тесты на возможность изменить имя профиля пользователем API","iteration_2.api.ChangeNameOfUserTest","userCanChangeTheirNameWithCorrectData"
"","275","userCanCreateAccountTest()","","2026-07-19","broken","2026-07-19","","iteration_1.ui.CreateAccountTest","iteration_1.ui.CreateAccountTest","userCanCreateAccountTest"
"","222","userCanLoginWithCorrectDataTest()","","2026-07-19","broken","2026-07-19","","iteration_1.ui.LoginUserTest","iteration_1.ui.LoginUserTest","userCanLoginWithCorrectDataTest"
"","749","Пользователь не может создать депозит с суммой более 5000 за раз и меньше 0 [2] deposit=-1, error=Deposit amount must be at least 0.01","","2026-07-19","passed","2026-07-19","","Тесты на проверку возможности создания Депозита API","iteration_2.api.CreateDepositTest","userCantCreateDepositWithNotValidSum"
"","1646","Пользователь может переводить деньги с одного счета на другой. Максимальная сумма 10000 [1] sum=9999","","2026-07-19","passed","2026-07-19","","Тесты на проверку возможности перевода денег с одного счета на другой API","iteration_2.api.TransferMoneyTest","UserCanTransferMoneyFromOneAccountToAnother"
"","321","adminCanCreateUserWithCorrectData()","","2026-07-19","passed","2026-07-19","","iteration_1.api.CreateUserTest","iteration_1.api.CreateUserTest","adminCanCreateUserWithCorrectData"
"","1929","Пользователь может переводить деньги с одного счета на другой. Максимальная сумма 10000 [2] sum=10000","","2026-07-19","passed","2026-07-19","","Тесты на проверку возможности перевода денег с одного счета на другой API","iteration_2.api.TransferMoneyTest","UserCanTransferMoneyFromOneAccountToAnother"
"","233","adminCanCreateUserWithCorrectData()","","2026-07-19","passed","2026-07-19","","iteration_1.api.CreateUserTest","iteration_1.api.CreateUserTest","adminCanCreateUserWithCorrectData"
"","432","Пользователь не может меня свое имя в профиле с некорректными данными [3] name=   2  2  ","","2026-07-19","passed","2026-07-19","","Тесты на возможность изменить имя профиля пользователем API","iteration_2.api.ChangeNameOfUserTest","userCantChangeTheirNameWithNotCorrectData"
"","0","Пользователь не может менять  username вместе с name","","2026-07-19","skipped","2026-07-19","","Тесты на возможность изменить имя профиля пользователем API","iteration_2.api.ChangeNameOfUserTest","userCantChangeTheirUserName"
"","438","Пользователь не может меня свое имя в профиле с некорректными данными [4] name=","","2026-07-19","passed","2026-07-19","","Тесты на возможность изменить имя профиля пользователем API","iteration_2.api.ChangeNameOfUserTest","userCantChangeTheirNameWithNotCorrectData"
"","267","userCanGenerateAuthTokenTest()","","2026-07-19","passed","2026-07-19","","iteration_1.api.LoginUserTest","iteration_1.api.LoginUserTest","userCanGenerateAuthTokenTest"
"","1270","Пользователь может перевести деньги со своего счета на чужой счет","","2026-07-19","passed","2026-07-19","","Тесты на проверку возможности перевода денег с одного счета на другой API","iteration_2.api.TransferMoneyTest","userCanTransferMoneyFromHisAccountToAnother"
"","18","adminCannotCreateUserWithInvalidDataTest()","","2026-07-19","broken","2026-07-19","","iteration_1.ui.CreateUserTest","iteration_1.ui.CreateUserTest","adminCannotCreateUserWithInvalidDataTest"
"","975","Пользователь может переводить деньги с одного счета на другой. Максимальная сумма 10000 [1] sum=9999","","2026-07-19","passed","2026-07-19","","Тесты на проверку возможности перевода денег с одного счета на другой API","iteration_2.api.TransferMoneyTest","UserCanTransferMoneyFromOneAccountToAnother"
"","456","Пользователь не может меня свое имя в профиле с некорректными данными [1] name=S ","","2026-07-19","passed","2026-07-19","","Тесты на возможность изменить имя профиля пользователем API","iteration_2.api.ChangeNameOfUserTest","userCantChangeTheirNameWithNotCorrectData"
"","600","userCanCreateAccountTest()","","2026-07-19","passed","2026-07-19","","iteration_1.api.CreateAccountTest","iteration_1.api.CreateAccountTest","userCanCreateAccountTest"
"","1417","Пользователь не может переводить отрицательные суммы и суммы больше 10000 [2] sum=0, error=Transfer amount must be at least 0.01","","2026-07-19","passed","2026-07-19","","Тесты на проверку возможности перевода денег с одного счета на другой API","iteration_2.api.TransferMoneyTest","UserCantTransferMoneyFromOneAccountToAnotherWithNotCorrectSum"
"","776","Пользователь может отслеживать состояние своих учетных записей","","2026-07-19","passed","2026-07-19","","Тесты на проверку возможности перевода денег с одного счета на другой API","iteration_2.api.TransferMoneyTest","userCanSeeTrackingOfTheirAccounts"
"","918","Пользователь не может переводить отрицательные суммы и суммы больше 10000 [3] sum=-1, error=Transfer amount must be at least 0.01","","2026-07-19","passed","2026-07-19","","Тесты на проверку возможности перевода денег с одного счета на другой API","iteration_2.api.TransferMoneyTest","UserCantTransferMoneyFromOneAccountToAnotherWithNotCorrectSum"
"","1851","Пользователь не может переводить деньги с чужого счета на свой собственный","","2026-07-19","passed","2026-07-19","","Тесты на проверку возможности перевода денег с одного счета на другой API","iteration_2.api.TransferMoneyTest","userCantTransferMoneyFromSomeOneAccountToHisOne"
"","1306","Пользователь не может создать депозит с суммой более 5000 за раз и меньше 0 [3] deposit=0, error=Deposit amount must be at least 0.01","","2026-07-19","passed","2026-07-19","","Тесты на проверку возможности создания Депозита API","iteration_2.api.CreateDepositTest","userCantCreateDepositWithNotValidSum"
"","262","adminCanNotCreateUserWithInvalidData(String, String, String, String, String) [3] username=abc$, password=Password33$, role=USER, errorKey=username, errorValue=Username must contain only letters, digits, dashes, underscores, and dots","","2026-07-19","passed","2026-07-19","","iteration_1.api.CreateUserTest","iteration_1.api.CreateUserTest","adminCanNotCreateUserWithInvalidData"
"","4547","Пользователь не может переводить деньги на не существующий счет","","2026-07-19","passed","2026-07-19","","Тесты на проверку возможности создания Депозита API","iteration_2.api.CreateDepositTest","userCantCreateDepositOnNonExistAccount"
"","1287","Пользователь не может переводить деньги с чужого счета на свой собственный","","2026-07-19","passed","2026-07-19","","Тесты на проверку возможности перевода денег с одного счета на другой API","iteration_2.api.TransferMoneyTest","userCantTransferMoneyFromSomeOneAccountToHisOne"
"","541","userCanGenerateAuthTokenTest()","","2026-07-19","passed","2026-07-19","","iteration_1.api.LoginUserTest","iteration_1.api.LoginUserTest","userCanGenerateAuthTokenTest"
"","137","adminCanNotCreateUserWithInvalidData(String, String, String, String, String) [3] username=abc$, password=Password33$, role=USER, errorKey=username, errorValue=Username must contain only letters, digits, dashes, underscores, and dots","","2026-07-19","passed","2026-07-19","","iteration_1.api.CreateUserTest","iteration_1.api.CreateUserTest","adminCanNotCreateUserWithInvalidData"
"","408","Пользователь не может меня свое имя в профиле с некорректными данными [4] name=","","2026-07-19","passed","2026-07-19","","Тесты на возможность изменить имя профиля пользователем API","iteration_2.api.ChangeNameOfUserTest","userCantChangeTheirNameWithNotCorrectData"
"","262","userCanCreateAccountTest()","","2026-07-19","broken","2026-07-19","","iteration_1.ui.CreateAccountTest","iteration_1.ui.CreateAccountTest","userCanCreateAccountTest"
"","2556","Пользователь может перевести деньги со своего счета на чужой счет","","2026-07-19","passed","2026-07-19","","Тесты на проверку возможности перевода денег с одного счета на другой API","iteration_2.api.TransferMoneyTest","userCanTransferMoneyFromHisAccountToAnother"
"","780","Пользователь не может создать депозит с суммой более 5000 за раз и меньше 0 [3] deposit=0, error=Deposit amount must be at least 0.01","","2026-07-19","passed","2026-07-19","","Тесты на проверку возможности создания Депозита API","iteration_2.api.CreateDepositTest","userCantCreateDepositWithNotValidSum"
"","457","Пользователь может видеть информацию о своем профиле","","2026-07-19","passed","2026-07-19","","Тесты на возможность изменить имя профиля пользователем API","iteration_2.api.ChangeNameOfUserTest","userCanSeeInfoAboutTheirProfile"
"","882","Пользователь не может создать депозит с суммой более 5000 за раз и меньше 0 [1] deposit=5001, error=Deposit amount cannot exceed 5000","","2026-07-19","passed","2026-07-19","","Тесты на проверку возможности создания Депозита API","iteration_2.api.CreateDepositTest","userCantCreateDepositWithNotValidSum"
"","870","Пользователь может переводить деньги с одного счета на другой. Максимальная сумма 10000 [2] sum=10000","","2026-07-19","passed","2026-07-19","","Тесты на проверку возможности перевода денег с одного счета на другой API","iteration_2.api.TransferMoneyTest","UserCanTransferMoneyFromOneAccountToAnother"
"","807","Пользователь может создать депозит с суммой не более 5000 за раз и больше 0 [1] deposit=4999","","2026-07-19","passed","2026-07-19","","Тесты на проверку возможности создания Депозита API","iteration_2.api.CreateDepositTest","userCanCreateDepositWithValidSum"
"","400","userCanGenerateAuthTokenTest()","","2026-07-19","passed","2026-07-19","","iteration_1.api.LoginUserTest","iteration_1.api.LoginUserTest","userCanGenerateAuthTokenTest"
"","0","Пользователь не может менять  password вместе с name","","2026-07-19","skipped","2026-07-19","","Тесты на возможность изменить имя профиля пользователем API","iteration_2.api.ChangeNameOfUserTest","userCantChangeTheirPassword"
"","554","Пользователь не может переводить деньги на не существующий счет","","2026-07-19","passed","2026-07-19","","Тесты на проверку возможности создания Депозита API","iteration_2.api.CreateDepositTest","userCantCreateDepositOnNonExistAccount"
"","265","Пользователь не может делать депозит с невалидной суммой","","2026-07-19","broken","2026-07-19","","Тесты на проверку возможности создания Депозита UI","iteration_2.ui.CreateDepositTestUI","userCannotCreateDepositWithNotValidSum"
"","401","userCanCreateAccountTest()","","2026-07-19","broken","2026-07-19","","iteration_1.ui.CreateAccountTest","iteration_1.ui.CreateAccountTest","userCanCreateAccountTest"
"","881","Пользователь может создать депозит с суммой не более 5000 за раз и больше 0 [2] deposit=5000","","2026-07-19","passed","2026-07-19","","Тесты на проверку возможности создания Депозита API","iteration_2.api.CreateDepositTest","userCanCreateDepositWithValidSum"
"","1010","Пользователь может создать депозит с суммой не более 5000 за раз и больше 0 [1] deposit=4999","","2026-07-19","passed","2026-07-19","","Тесты на проверку возможности создания Депозита API","iteration_2.api.CreateDepositTest","userCanCreateDepositWithValidSum"
"","1170","Пользователь может отслеживать состояние своих учетных записей","","2026-07-19","passed","2026-07-19","","Тесты на проверку возможности перевода денег с одного счета на другой API","iteration_2.api.TransferMoneyTest","userCanSeeTrackingOfTheirAccounts"
"","489","Пользователь не может меня свое имя в профиле с некорректными данными [5] name=ы№№№ о;;;;","","2026-07-19","passed","2026-07-19","","Тесты на возможность изменить имя профиля пользователем API","iteration_2.api.ChangeNameOfUserTest","userCantChangeTheirNameWithNotCorrectData"
"","21","adminCanCreateUser()","","2026-07-19","broken","2026-07-19","","iteration_1.ui.CreateUserTest","iteration_1.ui.CreateUserTest","adminCanCreateUser"
"","949","userCanLoginWithCorrectDataTest()","","2026-07-19","broken","2026-07-19","","iteration_1.ui.LoginUserTest","iteration_1.ui.LoginUserTest","userCanLoginWithCorrectDataTest"
"","1023","Пользователь не может переводить отрицательные суммы и суммы больше 10000 [2] sum=0, error=Transfer amount must be at least 0.01","","2026-07-19","passed","2026-07-19","","Тесты на проверку возможности перевода денег с одного счета на другой API","iteration_2.api.TransferMoneyTest","UserCantTransferMoneyFromOneAccountToAnotherWithNotCorrectSum"
"","1380","Пользователь не может создать депозит с суммой более 5000 за раз и меньше 0 [1] deposit=5001, error=Deposit amount cannot exceed 5000","","2026-07-19","passed","2026-07-19","","Тесты на проверку возможности создания Депозита API","iteration_2.api.CreateDepositTest","userCantCreateDepositWithNotValidSum"
"","1068","Пользователь может видеть информацию о своем профиле","","2026-07-19","passed","2026-07-19","","Тесты на возможность изменить имя профиля пользователем API","iteration_2.api.ChangeNameOfUserTest","userCanSeeInfoAboutTheirProfile"
"","204","adminCannotCreateUserWithInvalidDataTest()","","2026-07-19","broken","2026-07-19","","iteration_1.ui.CreateUserTest","iteration_1.ui.CreateUserTest","adminCannotCreateUserWithInvalidDataTest"
