"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3256","Пользователь может переводить деньги с одного счета на другой. Максимальная сумма 10000 [1] sum=9999","","Thu Jul 16 10:22:08 MSK 2026","passed","Thu Jul 16 10:22:11 MSK 2026","","Тесты на проверку возможности перевода денег с одного счета на другой API","iteration_2.api.TransferMoneyTest","UserCanTransferMoneyFromOneAccountToAnother"
"","1839","Пользователь не может меня свое имя в профиле с некорректными данными [5] name=ы№№№ о;;;;","","Thu Jul 16 10:21:56 MSK 2026","passed","Thu Jul 16 10:21:58 MSK 2026","","Тесты на возможность изменить имя профиля пользователем API","iteration_2.api.ChangeNameOfUserTest","userCantChangeTheirNameWithNotCorrectData"
"","3070","Пользователь может отслеживать состояние своих учетных записей","","Thu Jul 16 10:22:06 MSK 2026","passed","Thu Jul 16 10:22:09 MSK 2026","","Тесты на проверку возможности перевода денег с одного счета на другой API","iteration_2.api.TransferMoneyTest","userCanSeeTrackingOfTheirAccounts"
"","3523","Пользователь не может переводить отрицательные суммы и суммы больше 10000 [2] sum=0, error=Transfer amount must be at least 0.01","","Thu Jul 16 10:22:07 MSK 2026","failed","Thu Jul 16 10:22:10 MSK 2026","","Тесты на проверку возможности перевода денег с одного счета на другой API","iteration_2.api.TransferMoneyTest","UserCantTransferMoneyFromOneAccountToAnotherWithNotCorrectSum"
"","3487","Пользователь не может переводить отрицательные суммы и суммы больше 10000 [1] sum=10001, error=Transfer amount cannot exceed 10000","","Thu Jul 16 10:22:06 MSK 2026","failed","Thu Jul 16 10:22:10 MSK 2026","","Тесты на проверку возможности перевода денег с одного счета на другой API","iteration_2.api.TransferMoneyTest","UserCantTransferMoneyFromOneAccountToAnotherWithNotCorrectSum"
"","1321","Пользователь не может меня свое имя в профиле с некорректными данными [2] name=S  !","","Thu Jul 16 10:21:59 MSK 2026","passed","Thu Jul 16 10:22:01 MSK 2026","","Тесты на возможность изменить имя профиля пользователем API","iteration_2.api.ChangeNameOfUserTest","userCantChangeTheirNameWithNotCorrectData"
"","5306","Пользователь может видеть информацию о своем профиле","","Thu Jul 16 10:21:51 MSK 2026","passed","Thu Jul 16 10:21:56 MSK 2026","","Тесты на возможность изменить имя профиля пользователем API","iteration_2.api.ChangeNameOfUserTest","userCanSeeInfoAboutTheirProfile"
"","3786","Пользователь не может меня свое имя в профиле с некорректными данными [4] name=","","Thu Jul 16 10:21:52 MSK 2026","passed","Thu Jul 16 10:21:56 MSK 2026","","Тесты на возможность изменить имя профиля пользователем API","iteration_2.api.ChangeNameOfUserTest","userCantChangeTheirNameWithNotCorrectData"
"","2767","Пользователь не может отслеживать статус чужих аккаунтов","","Thu Jul 16 10:22:05 MSK 2026","passed","Thu Jul 16 10:22:08 MSK 2026","","Тесты на проверку возможности перевода денег с одного счета на другой API","iteration_2.api.TransferMoneyTest","userCanSeeTrackingOfOtherAccounts"
"","4672","Пользователь не может переводить деньги с чужого счета на свой собственный","","Thu Jul 16 10:22:02 MSK 2026","passed","Thu Jul 16 10:22:07 MSK 2026","","Тесты на проверку возможности перевода денег с одного счета на другой API","iteration_2.api.TransferMoneyTest","userCantTransferMoneyFromSomeOneAccountToHisOne"
"","3072","Пользователь может делать депозит","","Thu Jul 16 10:22:12 MSK 2026","passed","Thu Jul 16 10:22:15 MSK 2026","","Тесты на проверку возможности создания Депозита UI","iteration_2.ui.CreateDepositTestUI","userCanCreateDeposit"
"","1405","Пользователь не может меня свое имя в профиле с некорректными данными [1] name=S ","","Thu Jul 16 10:22:01 MSK 2026","passed","Thu Jul 16 10:22:02 MSK 2026","","Тесты на возможность изменить имя профиля пользователем API","iteration_2.api.ChangeNameOfUserTest","userCantChangeTheirNameWithNotCorrectData"
"","2641","Пользователь не может создать депозит с суммой более 5000 за раз и меньше 0 [2] deposit=-1, error=Deposit amount must be at least 0.01","","Thu Jul 16 10:21:56 MSK 2026","failed","Thu Jul 16 10:21:59 MSK 2026","","Тесты на проверку возможности создания Депозита API","iteration_2.api.CreateDepositTest","userCantCreateDepositWithNotValidSum"
